Data;ValorVendaGasolina;ValorVendaEtanol;CotacaoDolarVenda;Indice_Dez93;Ipca_Mensal
2019-10-31;4.465064904152447;3.377191792492785;4.0041;5233.07;0.1
2019-11-04;4.500259438157332;3.488122398777698;3.9922;5259.76;0.51
2019-11-05;4.525039433573723;3.508138252024231;4.0043;5259.76;0.51
2019-11-06;4.479531210207173;3.428065871629068;4.0351;5259.76;0.51
2019-11-07;4.5291307284745566;3.536885817347077;4.0927;5259.76;0.51
2019-11-11;4.48514309415233;3.4731754815940743;4.1559;5259.76;0.51
2019-11-12;4.502240599178593;3.4770654432119277;4.1756;5259.76;0.51
2019-11-13;4.499202940808025;3.4502037907506726;4.1767;5259.76;0.51
2019-11-14;4.507705511902038;3.561035070855588;4.1831;5259.76;0.51
2019-11-18;4.513604820472709;3.5198481730400837;4.1827;5259.76;0.51
2019-11-19;4.5141362968269165;3.5205013526449216;4.2084;5259.76;0.51
2019-11-20;4.439486362090414;3.395833414866955;4.2037;5259.76;0.51
2019-11-21;4.538586579110109;3.470885537129392;4.2012;5259.76;0.51
2019-11-22;4.392632352941177;3.285279411764706;4.1832;5259.76;0.51
2019-11-25;4.523198420299405;3.4809724360939667;4.2089;5259.76;0.51
2019-11-26;4.511636788006079;3.4972966236923453;4.2559;5259.76;0.51
2019-11-27;4.52074132778632;3.4910910273775455;4.2602;5259.76;0.51
2019-11-28;4.4679669790432435;3.441291112063612;4.248;5259.76;0.51
2019-12-02;4.610145275681745;3.5418033683369288;4.2261;5320.25;1.15
2019-12-03;4.530149669259396;3.492515446233097;4.2008;5320.25;1.15
2019-12-04;4.546413635421054;3.4852726944918917;4.1926;5320.25;1.15
2019-12-05;4.593535389474113;3.5456889034690597;4.2136;5320.25;1.15
2019-12-09;4.627805880752845;3.5799002937846964;4.1503;5320.25;1.15
2019-12-10;4.582365340430372;3.522389744418622;4.1427;5320.25;1.15
2019-12-11;4.58738240296288;3.5030062898430683;4.1153;5320.25;1.15
2019-12-12;4.60670548190862;3.532843613784753;4.1092;5320.25;1.15
2019-12-16;4.684783141111881;3.575213594753371;4.0801;5320.25;1.15
2019-12-17;4.563726548722017;3.560035802206589;4.0687;5320.25;1.15
2019-12-18;4.635885442531917;3.56394282299923;4.0548;5320.25;1.15
2019-12-19;4.577279685251689;3.5715311602482593;4.0633;5320.25;1.15
2019-12-23;4.61949007399442;3.566184646050914;4.0757;5320.25;1.15
2019-12-24;4.63845004097153;3.445010340464857;4.0813;5320.25;1.15
2019-12-26;4.628373497939694;3.538176271521512;4.0601;5320.25;1.15
2019-12-27;4.633624025692438;3.6235593269787483;4.0545;5320.25;1.15
2019-12-30;4.622298410525244;3.601269239067697;4.0307;5320.25;1.15
2019-12-31;4.600870833124239;3.5380797466766287;4.0307;5320.25;1.15
2020-01-02;4.687294169480636;3.577435137801638;4.0213;5331.42;0.21
2020-01-03;4.672707899192804;3.6599150993453287;4.0522;5331.42;0.21
2020-01-06;4.6467429095829536;3.5935238727017875;4.0554;5331.42;0.21
2020-01-07;4.5757797615407645;3.5756011531625607;4.0841;5331.42;0.21
2020-01-08;4.584038603711354;3.5304369981553005;4.0672;5331.42;0.21
2020-01-09;4.730440477065264;3.66386427153676;4.0744;5331.42;0.21
2020-01-13;4.694108162353479;3.7094089095757585;4.1309;5331.42;0.21
2020-01-14;4.6462912884784915;3.630447069203351;4.1443;5331.42;0.21
2020-01-15;4.650089548677484;3.599341545707245;4.1622;5331.42;0.21
2020-01-16;4.599220035840562;3.5802486924195516;4.1726;5331.42;0.21
2020-01-20;4.676004418924292;3.7036150733698094;4.1829;5331.42;0.21
2020-01-21;4.659853166783062;3.650512694715961;4.2014;5331.42;0.21
2020-01-22;4.662757433249506;3.6396853638059854;4.1889;5331.42;0.21
2020-01-23;4.695871103941811;3.6027129653306442;4.1662;5331.42;0.21
2020-01-27;4.651135757224699;3.7140177926574767;4.2196;5331.42;0.21
2020-01-28;4.657858105658801;3.692157592234705;4.2064;5331.42;0.21
2020-01-29;4.658644037078402;3.6928273937916063;4.2013;5331.42;0.21
2020-01-30;4.650126386187272;3.625302809749113;4.2523;5331.42;0.21
2020-02-03;4.633339992039466;3.6898391170850497;4.2475;5344.75;0.25
2020-02-04;4.656970860204874;3.6677577980744043;4.2381;5344.75;0.25
2020-02-05;4.64290602974671;3.6776636084590124;4.2449;5344.75;0.25
2020-02-06;4.656468972769365;3.671728692663914;4.2477;5344.75;0.25
2020-02-10;4.604449973811949;3.6787743178197103;4.3195;5344.75;0.25
2020-02-11;4.618513447947377;3.6809394076567328;4.3148;5344.75;0.25
2020-02-12;4.652546681750239;3.7016507137554955;4.3366;5344.75;0.25
2020-02-13;4.593669378585317;3.6536864241213323;4.3389;5344.75;0.25
2020-02-17;4.577373650227818;3.6496814244484677;4.3157;5344.75;0.25
2020-02-18;4.623164733129295;3.6797389536640046;4.3471;5344.75;0.25
2020-02-19;4.6782786220936;3.6879272697361456;4.3728;5344.75;0.25
2020-02-20;4.60634174021562;3.740544990764952;4.3873;5344.75;0.25
2020-02-26;4.638363234681706;3.684329364942594;4.4359;5344.75;0.25
2020-02-27;4.653896618253167;3.723743069038887;4.4764;5344.75;0.25
2020-02-28;4.613652662900929;3.679440368281486;4.4987;5344.75;0.25
2020-03-02;4.547032844035979;3.638038470410857;4.4946;5348.49;0.07
2020-03-03;4.592368633324489;3.681534222019589;4.4883;5348.49;0.07
2020-03-04;4.620560952598383;3.6763044259176874;4.5258;5348.49;0.07
2020-03-05;4.662114888449934;3.717095119038545;4.6207;5348.49;0.07
2020-03-09;4.598232166044411;3.6916644037278314;4.7379;5348.49;0.07
2020-03-10;4.592947840173907;3.701253616342601;4.6693;5348.49;0.07
2020-03-11;4.6223127099324905;3.7029873937310627;4.6738;5348.49;0.07
2020-03-12;4.539070292288204;3.632589872780796;4.8833;5348.49;0.07
2020-03-16;4.587946390632111;3.697304384741774;4.9471;5348.49;0.07
2020-03-17;4.562303064173036;3.7061884545574086;5.0496;5348.49;0.07
2020-03-18;4.583332754498332;3.7046932647757034;5.1107;5348.49;0.07
2020-03-19;4.5241474695548565;3.6399069272808022;5.1444;5348.49;0.07
2020-03-23;4.4614295049710595;3.691130112899886;5.0805;5348.49;0.07
2020-03-24;4.43815139567731;3.586864111073153;5.0713;5348.49;0.07
2020-03-25;4.526036180319273;3.685992591132838;5.0706;5348.49;0.07
2020-03-26;4.357977853226961;3.5304569613104912;5.001;5348.49;0.07
2020-03-30;4.445060891335278;3.64887424133698;5.1594;5348.49;0.07
2020-03-31;4.323820554783194;3.5751948053547116;5.1987;5348.49;0.07
2020-04-01;4.449375325864605;3.6444099664585075;5.2404;5331.91;-0.31
2020-04-02;4.309409093635748;3.524543436392617;5.2651;5331.91;-0.31
2020-04-06;4.22842070065865;3.5390139525125335;5.2471;5331.91;-0.31
2020-04-07;4.23849965859251;3.509249597713759;5.2217;5331.91;-0.31
2020-04-08;4.276732205792157;3.5315369227327613;5.2123;5331.91;-0.31
2020-04-09;4.064776700214418;3.2881054582237823;5.0779;5331.91;-0.31
2020-04-13;4.223570452689692;3.515875846305461;5.1824;5331.91;-0.31
2020-04-14;4.165396601981777;3.4680641037824826;5.1858;5331.91;-0.31
2020-04-15;4.2279160084825245;3.467474356906076;5.2579;5331.91;-0.31
2020-04-16;4.011922277985268;3.088873108015137;5.2377;5331.91;-0.31
2020-04-20;4.03461765885809;3.36893590712353;5.2837;5331.91;-0.31
2020-04-22;4.1245809581950725;3.3940701101600705;5.3847;5331.91;-0.31
2020-04-23;3.959223169856212;3.1059237966576645;5.4467;5331.91;-0.31
2020-04-27;4.047515464800877;3.3610558310769623;5.6358;5331.91;-0.31
2020-04-28;3.9045835582816006;3.3335029925815878;5.5683;5331.91;-0.31
2020-04-29;3.9023859885022363;3.2120830234598823;5.4291;5331.91;-0.31
2020-04-30;4.087534422049207;3.368000448319289;5.427;5331.91;-0.31
2020-05-04;3.838126571463973;3.234947836543376;5.5816;5311.65;-0.38
2020-05-05;3.8921371661006883;3.27426495975314;5.5354;5311.65;-0.38
2020-05-06;3.9900301709200003;3.345270644267371;5.6676;5311.65;-0.38
2020-05-07;3.769412191244803;2.8903874780341257;5.8365;5311.65;-0.38
2020-05-11;3.8656087210552093;3.1640733609755185;5.7954;5311.65;-0.38
2020-05-12;3.8362290112951136;3.2801386591754866;5.7723;5311.65;-0.38
2020-05-13;3.955885997397225;3.304217797076948;5.9022;5311.65;-0.38
2020-05-14;3.749197771879022;2.8273647005772014;5.9372;5311.65;-0.38
2020-05-18;3.8021061044952376;3.1979127482423992;5.7375;5311.65;-0.38
2020-05-19;3.9302032045462956;3.2679597945081045;5.7216;5311.65;-0.38
2020-05-20;3.9112297368244895;3.339464283422002;5.6968;5311.65;-0.38
2020-05-21;3.91902571974617;3.1463870824044493;5.6019;5311.65;-0.38
2020-05-25;3.8516363718624445;3.2040614217481407;5.4772;5311.65;-0.38
2020-05-26;3.9694738112967776;3.2910419242797335;5.3707;5311.65;-0.38
2020-05-27;3.956601560205507;3.3344061037956343;5.2992;5311.65;-0.38
2020-05-28;3.988044067435935;3.08891970659521;5.3405;5311.65;-0.38
2020-06-01;3.960031331581304;3.240007366848775;5.3639;5325.46;0.26
2020-06-02;3.9838546001556927;3.2741956145800115;5.2601;5325.46;0.26
2020-06-03;4.047722799489744;3.222118149996005;5.0516;5325.46;0.26
2020-06-04;3.860000850340136;2.9583471513605444;5.1041;5325.46;0.26
2020-06-08;3.9817359454475203;3.2633187342691827;4.9331;5325.46;0.26
2020-06-09;3.9961317548884754;3.275621706123229;4.9057;5325.46;0.26
2020-06-10;4.018589974172351;3.189300684699202;4.8894;5325.46;0.26
2020-06-15;4.000152710110951;3.2663708164529788;5.1883;5325.46;0.26
2020-06-16;4.115926271783136;3.301222755154189;5.1285;5325.46;0.26
2020-06-17;4.064137122749999;3.2265347934671587;5.2499;5325.46;0.26
2020-06-18;3.921945720676708;2.973697032476686;5.3468;5325.46;0.26
2020-06-22;4.023918357920961;3.257834857941737;5.2226;5325.46;0.26
2020-06-23;4.148017000839985;3.3705328167735944;5.1705;5325.46;0.26
2020-06-24;4.0945947437943255;3.259358451216317;5.2435;5325.46;0.26
2020-06-25;4.013474819160356;3.031835474095089;5.3287;5325.46;0.26
2020-06-29;4.1079586797741;3.348051333724664;5.4416;5325.46;0.26
2020-06-30;4.167785028561434;3.318620620199325;5.476;5325.46;0.26
2020-07-01;4.118715752033909;3.3004932445111703;5.3651;5344.63;0.36
2020-07-02;4.0913074859470235;3.0247994990245264;5.3028;5344.63;0.36
2020-07-06;4.160277859836678;3.316025912398822;5.3085;5344.63;0.36
2020-07-07;4.173406407641813;3.303522448893152;5.3318;5344.63;0.36
2020-07-08;4.150558909341018;3.3726341677449745;5.3482;5344.63;0.36
2020-07-09;4.125158288772335;3.1615217517355902;5.2978;5344.63;0.36
2020-07-13;4.142760900412433;3.2913222130050888;5.3486;5344.63;0.36
2020-07-14;4.248887159805324;3.3505396361284694;5.4288;5344.63;0.36
2020-07-15;4.265696844431046;3.382631799646899;5.3491;5344.63;0.36
2020-07-16;4.293841563786007;3.242162794612795;5.356;5344.63;0.36
2020-07-20;4.17522110467459;3.2911788869212786;5.3635;5344.63;0.36
2020-07-21;4.315638698287147;3.3673427613548954;5.2283;5344.63;0.36
2020-07-22;4.266182364175206;3.386402133714225;5.1111;5344.63;0.36
2020-07-23;4.245318416528396;3.1133647758783627;5.1647;5344.63;0.36
2020-07-27;4.214320482367084;3.2734013257773813;5.1889;5344.63;0.36
2020-07-28;4.313554598928163;3.361512195941172;5.1777;5344.63;0.36
2020-07-29;4.350527614704494;3.3890347704863824;5.1395;5344.63;0.36
2020-07-30;4.2816221015230855;3.251416953992939;5.1837;5344.63;0.36
2020-08-03;4.249461663180163;3.336157457189243;5.3075;5357.46;0.24
2020-08-04;4.3114546434768055;3.366267683529971;5.3329;5357.46;0.24
2020-08-05;4.324347827377131;3.342767837066121;5.276;5357.46;0.24
2020-08-06;4.349056873249959;3.175110917793891;5.3431;5357.46;0.24
2020-08-10;4.30020653988939;3.2803946013528154;5.3933;5357.46;0.24
2020-08-11;4.333232815797539;3.395390485044005;5.4285;5357.46;0.24
2020-08-12;4.346242728378149;3.3398502487863673;5.4551;5357.46;0.24
2020-08-13;4.2582269990045365;3.163153675770594;5.3801;5357.46;0.24
2020-08-17;4.338286412459948;3.3617781007015477;5.4497;5357.46;0.24
2020-10-19;4.422972250865507;3.370630541637929;5.6023;5438.12;0.86
2020-10-20;4.488421212325848;3.360242732500644;5.583;5438.12;0.86
2020-10-21;4.411260892743535;3.383349349845988;5.6006;5438.12;0.86
2020-10-22;4.2368676470588245;3.453171428571429;5.582;5438.12;0.86
2020-10-26;4.384374085608802;3.3421138331574505;5.6328;5438.12;0.86
2020-10-27;4.453990312950938;3.4488961511686815;5.6491;5438.12;0.86
2020-10-28;4.471471935207649;3.494964475908707;5.7325;5438.12;0.86
2020-10-29;4.388296296296297;3.344111111111111;5.7803;5438.12;0.86
2020-11-03;4.404307996550481;3.453743338780145;5.6895;5486.52;0.89
2020-11-04;4.438952112800938;3.4703022476428464;5.6932;5486.52;0.89
2020-11-05;4.439944529857397;3.309264075471312;5.5624;5486.52;0.89
2020-11-09;4.429594220056211;3.460228017158863;5.2821;5486.52;0.89
2020-11-10;4.459853209343495;3.4668222397933417;5.3696;5486.52;0.89
2020-11-11;4.443081445114278;3.4354615127054404;5.402;5486.52;0.89
2020-11-12;4.3651782407407405;3.251683035714286;5.4094;5486.52;0.89
2020-11-16;4.506060570904494;3.5281253089681646;5.4198;5486.52;0.89
2020-11-17;4.471627302127322;3.5004373657021843;5.3968;5486.52;0.89
2020-11-18;4.511449393285933;3.542586139123801;5.2932;5486.52;0.89
2020-11-19;4.563186668092213;3.4363732624342505;5.333;5486.52;0.89
2020-11-23;4.501090770980181;3.49739926338568;5.3828;5486.52;0.89
2020-11-24;4.533368422199289;3.5589009423585747;5.4037;5486.52;0.89
2020-11-25;4.576808888518332;3.574308902602766;5.3508;5486.52;0.89
2020-11-26;4.394593937389771;3.5023387488328668;5.3201;5486.52;0.89
2020-11-30;4.525419689489803;3.5523880596102138;5.3317;5486.52;0.89
2020-12-01;4.560478908195087;3.5718483121254154;5.2789;5560.59;1.35
2020-12-02;4.561468840558435;3.57097784482443;5.2267;5560.59;1.35
2020-12-03;4.541200381845528;3.5089013847831625;5.1625;5560.59;1.35
2020-12-04;4.53525;4.325666666666666;5.1706;5560.59;1.35
2020-12-07;4.526003913060725;3.542120346942467;5.1018;5560.59;1.35
2020-12-08;4.59121161761654;3.5884484112332538;5.092;5560.59;1.35
2020-12-09;4.58678889232873;3.601894476791521;5.1109;5560.59;1.35
2020-12-10;4.499679723825557;3.4712176784541113;5.0852;5560.59;1.35
2020-12-14;4.616232596913754;3.5750509739662264;5.0578;5560.59;1.35
2020-12-15;4.571625033131444;3.588119147226373;5.0968;5560.59;1.35
2020-12-16;4.598092837591702;3.5601438661452014;5.1057;5560.59;1.35
2020-12-17;4.512266433210827;3.5188929128238917;5.0612;5560.59;1.35
2020-12-21;4.61335924974141;3.634649750019126;5.1572;5560.59;1.35
2020-12-22;4.620192270371436;3.5829895091409387;5.1473;5560.59;1.35
2020-12-23;4.45696184311045;3.3651075120957477;5.174;5560.59;1.35
2020-12-24;4.248441860465118;3.0455454545454543;5.18;5560.59;1.35
2020-12-28;4.61321717407794;3.6302043230943273;5.239;5560.59;1.35
2020-12-29;4.6282941745939485;3.620330180975004;5.1942;5560.59;1.35
2020-12-30;4.581529789848942;3.6082581639983053;5.1967;5560.59;1.35
2020-12-31;4.543593023255814;3.697770413436693;5.1967;5560.59;1.35
2021-01-04;4.6752402260938775;3.6168663880547416;5.1626;5574.49;0.25
2021-01-05;4.665668976764803;3.6173811333856465;5.3269;5574.49;0.25
2021-01-06;4.660241799933438;3.5871431382241443;5.3182;5574.49;0.25
2021-01-07;4.686137474314378;3.581691446581196;5.3433;5574.49;0.25
2021-01-11;4.663846047518116;3.676083142537254;5.4966;5574.49;0.25
2021-01-12;4.687096256964315;3.6187272850290677;5.4637;5574.49;0.25
2021-01-13;4.657205262420034;3.5858967589908186;5.307;5574.49;0.25
